Siber Zorbalýk Davranýþý;Þahit Olan(%);Yapan (%);Maruz Kalan (%);Karþýlaþmayan (%)
Bir baþkasýnýn online hesabýný hackleme;50;8,2;10,9;19,1
Nefret söylemi veya küçük düþürücü yorum atma;74,6;;10,9;9,1
Ýstenmeyen veya muzur resim atam;59,1;;8,2;31,8
Baþka bir öðrenciyi taciz etmek için grup oluþturma;54,5;;;44,6
Utanç verici yorum atmak için sahte hesap oluþturma;45,5;1,8;0,9;50
Utanç verici veya tehdit içerikli kýsa mesaj atma;40;0,9;16,4;35,5
Utanç verici veya tehdit içerikli eposta yollama;30,9;;9,1;56,4
Canlý çevrimiçi oyun sýrasýnda diðer oyuncularý taciz etme;29,1;;0,9;65,5
Interneti ayrýmcýlýk yapmak için kullanma;46,4;;0,9;51,8
Ýnternet üzerinden istenmeyen cinsel yakýnlaþma giriþimleri;37,3;;24,6;30,9
Bir baþkasýnýn cinsel veya saðlýk durumunu ifþa etmek;30,9;;0,9;67,3
